// Monsters Additional Database
//
// Structure of Database :
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
//道场
3514,dc15,乌龟将军,Turtle General,97,320700,0,18202,9800,2,2438,3478,50,54,100,45,200,65,105,164,10,12,2,2,42,0x37B5,200,900,1000,500,9101,,,,,,,617,1000,675,100,969,2000,,,,,,,,,,,,,4305,20
3515,dc16,死灵骑士,Lord of the Dead,94,603383,0,131343,43345,3,3430,4232,77,73,1,99,200,109,100,106,10,12,2,6,67,0x37B5,180,1446,1296,360,65671,,,,,,,617,1000,675,100,969,2000,,,,,,,,,,,,,,
3516,dc17,德古拉男爵,Dracula,85,320096,0,120157,38870,3,1625,1890,45,76,1,95,200,87,85,100,10,12,2,6,80,0x37B5,145,1290,1140,576,60078,,,,,,,617,1000,675,100,969,2000,,,,,,,,,,,,,4134,20
3517,dc18,墨蛇君,Evil Snake Lord,73,254993,0,34288,17950,3,2433,4210,25,55,70,83,200,80,164,88,10,12,2,2,67,0x37B5,200,588,816,420,17144,,,,,,,617,1000,675,100,969,2000,,,,,,,,,,,,,4330,20
3518,dc19,元灵武士,Samurai Specter,71,218652,0,33095,18214,3,2219,3169,10,51,91,85,200,85,150,60,10,12,2,7,67,0x37B5,135,874,1344,576,16547,,,,,,,617,1000,675,100,969,2000,,,,,,,,,,,,,4263,1
//初级
3520,ax1,俄塞里斯,Osiris,78,415400,0,71500,28600,1,780,2880,10,25,1,75,200,37,86,40,10,12,1,1,89,0x37B5,100,1072,672,384,35750,,,,,,,617,2000,675,100,969,2000,19004,1,27018,120,22003,1,22002,1,24100,150,19000,8,4144,20
3521,ax2,巴风特,Baphomet,81,668000,0,107250,37895,2,3220,4040,35,45,1,152,200,85,120,95,10,12,2,6,67,0x37B5,100,768,768,576,53625,,,,,,,675,100,969,2000,19004,1,27018,120,22003,1,22002,1,19000,8,24101,150,617,1000,4147,20
3522,ax3,死灵,Doppelganger,72,249000,0,51480,10725,1,1340,1590,60,35,88,90,200,35,125,65,10,12,1,6,67,0x37B5,100,480,480,288,25740,,,,,,,675,100,969,2000,19004,1,27018,120,22003,1,22002,1,19000,8,24102,150,617,1000,4142,20
3523,ax4,蜂后,Mistress,74,212000,0,39325,27170,1,880,1110,40,60,50,165,200,95,70,130,10,12,0,4,84,0x37B5,100,1148,648,300,19662,,,,,,,675,100,969,2000,616,1000,19000,8,19004,1,27018,120,22002,1,24103,150,22003,1,4132,20
3524,ax5,黄金虫,Golden Thief Bug,99,126000,0,14300,7150,1,870,1145,60,45,65,75,200,45,85,150,10,12,2,4,43,0x11AB,100,768,768,480,7150,,,,,,,969,2000,675,100,19000,8,19004,1,27018,120,,,,,22002,1,22003,1,4128,1
3525,ax6,海盗之王,Drake,70,326666,0,28600,22880,1,1800,2100,20,35,85,80,200,75,79,50,10,12,1,1,29,0x37B5,400,620,420,360,14300,,,,,,,617,1000,675,100,969,2000,19000,8,19004,1,27018,120,22002,1,24106,150,22003,1,4137,20
3526,ax7,虎王,Eddga,65,152000,0,25025,12870,1,1215,1565,15,15,78,70,200,66,90,85,10,12,2,2,23,0x37B5,300,872,1344,432,12512,,,,,,,617,1000,675,100,969,2000,19000,8,19004,1,27018,120,22002,1,24107,150,22003,1,4123,20
3527,ax8,幽灵波利,Ghostring,99,73300,0,101,108,1,82,122,0,60,40,27,200,45,72,30,10,12,1,6,80,0x37B5,300,1220,1080,648,0,,,,,,,617,1000,675,100,969,2000,19000,8,19004,1,27018,120,,,22002,1,22003,1,4047,1
3528,ax9,蚁后,Maya,81,169000,0,42900,17875,1,1800,2070,60,25,95,97,200,95,82,105,10,12,2,4,82,0x37B5,100,864,1000,480,21450,,,,,,,675,100,969,2000,19000,8,27018,120,7020,100,19004,1,22002,1,27502,150,22003,1,4146,20
3529,ax10,月夜猫,Moonlight Flower,67,120000,0,27500,14300,1,1200,1700,10,55,55,99,200,82,95,120,10,12,1,6,63,0x37B5,150,1276,576,288,13750,,,,,,,27018,120,675,100,969,2000,19000,8,19004,1,22002,1,22003,1,27503,150,617,1000,4131,20
3530,ax11,法老王,Pharaoh,93,445997,0,114990,41899,1,2267,3015,67,70,1,93,200,104,89,112,10,12,2,7,67,0x37B5,125,868,768,288,57495,,,,,,,675,100,969,2000,19004,1,27018,120,,,22002,1,22003,1,27504,150,19000,8,4148,20
3531,ax12,皮里恩,Phreeoni,69,188000,0,32175,16445,1,880,1530,10,20,1,85,200,35,130,60,10,12,2,2,60,0x37B5,200,1020,1020,288,16087,,,,,,,675,100,969,2000,19004,1,27018,120,22002,1,22003,1,19000,8,27505,150,617,1000,4121,20
3532,ax13,兽人酋长,Orc Lord,74,783000,0,62205,8580,1,3700,4150,40,5,85,82,200,70,110,85,10,12,2,7,82,0x37B5,100,1248,500,360,31102,,,,,,,675,100,969,2000,19004,1,27018,120,617,1000,22002,1,22003,1,27505,150,19000,8,4135,20
3533,ax14,冰暴骑士,Stormy Knight,77,240000,0,64350,21450,2,1425,1585,35,60,75,185,200,55,130,79,10,12,2,0,84,0x37B5,200,468,468,288,32175,,,,,,,675,100,969,2000,617,4000,19000,8,19004,1,27018,120,22002,1,27506,150,22003,1,4318,20
3534,ax15,卡仑,Garm,73,197000,0,50050,20020,3,1700,1900,40,45,85,126,200,65,95,60,10,12,2,2,81,0x37B5,400,608,408,336,25025,,,,,,,675,100,969,2000,19004,1,27018,120,617,1000,19000,8,22002,1,27507,150,22003,1,4324,20
3535,ax16,黑暗之王,Dark Lord,80,720000,0,65780,45045,2,2800,3320,30,70,1,120,200,118,99,60,10,12,2,6,89,0x37B5,100,868,768,480,32890,,,,,,,675,100,969,2000,19004,1,27018,120,22002,1,22003,1,19000,8,25033,150,,,4168,20
3536,ax17,乌龟将军,Turtle General,97,320700,0,18202,9800,2,2438,3478,50,54,100,45,200,65,105,164,10,12,2,2,42,0x37B5,200,900,1000,500,9101,,,,,,,675,100,969,2000,19004,1,27018,120,22002,1,22003,1,19000,8,25034,150,,,4305,20
3537,ax18,死灵骑士,Lord of the Dead,94,603383,0,131343,43345,3,3430,4232,77,73,1,99,200,109,100,106,10,12,2,6,67,0x37B5,180,1446,1296,360,65671,,,,,,,675,100,969,2000,19004,1,27018,120,22002,1,22003,1,,,25035,150,19000,8,,
3538,ax19,天使波利,Angeling,20,55000,0,163,144,1,120,195,0,70,1,50,200,75,68,200,10,12,1,8,80,0x37B5,200,1072,672,672,0,,,,,,,675,100,969,2000,617,1000,19000,8,19004,1,27018,120,22002,1,22003,1,,,4054,20
3539,ax20,德古拉男爵,Dracula,85,320096,0,120157,38870,3,1625,1890,45,76,1,95,200,87,85,100,10,12,2,6,80,0x37B5,145,1290,1140,576,60078,,,,,,,617,1000,675,100,969,2000,19000,8,19004,1,27018,120,25036,150,22002,1,22003,1,4134,20
3540,ax21,墨蛇君,Evil Snake Lord,73,254993,0,34288,17950,3,2433,4210,25,55,70,83,200,80,164,88,10,12,2,2,80,0x37B5,200,588,816,420,17144,,,,,,,617,1000,675,100,969,2000,19000,8,19004,1,27018,120,22002,1,22003,1,,,4330,20
3541,ax22,元灵武士,Samurai Specter,71,218652,0,33095,18214,3,2219,3169,10,51,91,85,200,85,150,60,10,12,2,7,67,0x37B5,135,874,1344,576,16547,,,,,,,617,1000,24104,150,675,100,969,2000,19000,8,19004,1,27018,120,22002,1,22003,1,4263,1
3542,ax23,古埃及王,Amon Ra,88,1214138,0,87264,35891,3,1647,2576,26,52,0,1,200,124,74,45,14,12,2,7,62,0x1A4,170,854,2016,480,43632,,,,,,,675,100,969,2000,617,1000,616,1000,19000,8,19004,1,27018,120,22002,1,22003,1,4236,20
3543,ax24,塔奥群卡,Tao Gunka,99,193000,0,59175,10445,2,1450,1770,20,20,1,85,200,35,140,60,10,12,2,6,60,0x37B5,150,1020,288,144,29587,,,,,,,617,1000,675,100,969,2000,19000,8,19004,1,27018,120,22002,1,22003,1,,,4302,1
3544,ax25,RSX-0806,RSX-0806,86,560733,0,31010,32011,1,2740,5620,39,41,85,51,200,25,93,84,10,12,2,0,60,0x37B5,220,128,1104,240,15505,,,,,,,675,100,969,2000,617,1000,19000,8,19004,1,27018,120,22002,1,22003,1,,,4342,20
3545,ax26,嗒妮小姐,Lady Tanee,89,493000,0,64995,43222,14,450,2170,20,44,1,125,200,78,210,38,10,12,2,3,64,0x1A4,100,576,432,360,32497,,,,,,,969,2000,675,100,19004,1,27018,120,,,617,2000,19000,8,22002,1,22003,1,4376,20
3546,ax27,迪塔勒泰晤勒斯,Detardeurus,90,960000,0,291850,123304,3,4560,5548,66,59,100,90,200,136,140,56,10,12,2,9,67,0x37B5,250,432,936,360,145925,,,,,,,617,1000,675,100,969,2000,19000,8,19004,1,27018,120,22002,1,22003,1,,,4386,20
3547,ax28,堕落的大神官希巴姆,Fallen Bishop Hibram,99,3333333,0,1111111,1111111,1,3220,5040,50,0,1,80,200,126,120,20,10,12,1,6,47,0x37B5,150,432,1152,360,555555,,,,,,,617,1000,675,100,969,2000,19000,8,19004,1,27018,120,22002,1,22003,1,,,4441,1
3548,ax29,巴基力 兰特克力斯,Valkyrie,99,1567200,0,10000,10000,3,5560,9980,25,42,100,120,200,120,220,210,10,12,2,8,80,0x37B5,100,576,576,480,0,,,,,,,,,617,1000,969,2000,675,100,19000,8,19004,1,27018,120,22002,1,22003,1,4407,1
3549,ax31,恶魔波利,Deviling,31,64500,0,211,412,1,135,270,5,70,30,50,200,75,77,200,10,12,1,6,80,0x37B5,200,1072,1056,384,0,,,,,,,675,100,969,2000,617,1000,19000,8,19004,1,27018,120,22002,1,22003,1,,,4174,20
3550,ax32,兽人英雄,Orc Hero,77,585700,0,58630,32890,1,2257,2542,40,45,1,91,200,70,105,90,10,12,2,7,42,0x37B5,150,1678,780,648,29315,,,,,,,675,100,969,2000,19000,8,19004,1,27018,120,22002,1,22003,1,24105,150,617,1000,4143,20
3551,ax33,贝思波,Vesper,97,640700,0,200000,100000,3,4000,10000,50,54,100,50,200,70,160,150,10,12,2,2,80,0x37B5,180,504,912,432,100000,,,,,,,,,675,100,617,1000,969,2000,19000,8,19004,1,27018,120,22002,1,22003,1,4374,20
3552,ax34,圣天使波利,Arc Angeling,60,79523,0,4152,2173,1,669,890,54,58,1,65,200,74,65,105,10,12,1,8,80,0x37B5,180,1072,672,480,0,,,,,,,675,100,969,2000,617,1000,19000,8,27018,120,22002,1,22003,1,,,,,4241,20
3553,ax35,白素贞,White Lady,85,253221,0,45250,16445,3,1868,6124,20,55,52,65,200,112,152,35,10,12,2,7,64,0x39A5,130,576,960,480,22625,,,,,,,617,2000,675,100,969,2000,19004,1,27018,120,22003,1,22002,1,,,19000,8,4372,20
3554,ax36,阿特罗斯,Atroce,82,1008420,0,295550,118895,2,2526,3646,25,25,100,87,200,49,89,72,10,12,2,2,67,0x37B5,150,576,600,240,147775,,,,,,,617,2000,675,100,969,2000,19004,1,27018,120,22003,1,22002,1,,,19000,8,4425,20
3555,ax37,闇●剑士 赛尼亚,Egnigem Cenia,79,214200,0,258760,86000,1,3890,5690,48,25,82,60,45,31,110,40,10,12,1,7,43,0x37B5,100,1008,864,288,129380,,,,,,,617,2000,675,100,969,2000,19004,1,27018,120,22003,1,22002,1,,,19000,8,4352,1

//3554,AX,神之牧师,M4,99,100000000,0,0,0,1,300000,300000,60,90,500,500,150,800,1500,300,10,12,1,4,80,0x37B5,100,150,350,1,10,,,,,,,,,,,,,,,,,,,,,30134,1,,,,
//3556,AX,不知火舞,M4,99,100000000,0,0,0,1,300000,300000,60,90,500,500,150,800,1500,300,10,12,1,4,80,0x37B5,100,150,350,1,10,,,,,,,,,,,,,,,,,,,,,30135,1,,,,
//3557,AX,追命,M4,99,100000000,0,0,0,1,600000,600000,60,90,500,500,150,800,1500,300,10,12,1,4,80,0x37B5,100,150,350,1,10,,,,,,,,,,,,,,,,,,,,,30136,1,,,,,
//3558,AX,铁手,M4,99,100000000,0,0,0,14,300000,300000,60,90,500,500,150,800,1500,300,10,12,1,4,80,0x37B5,100,150,350,1,10,,,,,,,,,,,,,,,,,,,,,30137,1,,,,
//3559,AX,吕布奉先,M4,99,100000000,0,0,0,1,300000,300000,60,90,500,500,150,1500,1500,300,10,12,1,4,80,0x37B5,100,150,350,1,10,,,,,,,,,,,,,,,,,,,,,30138,1,,,,
//3560,AX,少年魔剑,M4,99,100000000,0,0,0,1,300000,300000,60,90,500,500,150,800,1500,300,10,12,1,4,80,0x37B5,100,150,350,1,10,,,,,,,,,,,,,,,,,,,,,30139,1,,,,
//3561,AX,严元仪,M4,99,100000000,0,0,0,1,300000,300000,60,90,500,500,150,800,1500,300,10,12,1,4,80,0x37B5,100,150,350,1,10,,,,,,,,,,,,,,,,,,,,,30140,1,,,,
//3562,AX,叛逃忍者,M4,99,100000000,0,0,0,1,300000,300000,60,90,500,500,150,800,1500,300,10,12,1,4,80,0x37B5,100,150,350,1,10,,,,,,,,,,,,,,,,,,,,,30141,1,,,,
//3563,AX,暗部杀手,M4,99,100000000,0,0,0,1,600000,600000,60,90,500,500,150,800,1500,300,10,12,1,4,80,0x37B5,100,150,350,1,10,,,,,,,,,,,,,,,,,,,,,30142,1,,,,
//3564,AX,女武神,M4,99,100000000,0,0,0,1,300000,300000,60,90,500,500,150,800,1500,300,10,12,1,4,80,0x37B5,100,150,350,1,10,,,,,,,,,,,,,,,,,,,,,30143,1,,,,
//3565,AX,猫女,M4,99,100000000,0,0,0,1,300000,300000,60,90,500,500,150,1500,1500,300,10,12,1,4,80,0x37B5,100,150,350,1,10,,,,,,,,,,,,,,,,,,,,,30144,1,,,,
//3332,AX,炎邪,M4,99,100000000,0,0,0,1,300000,300000,60,90,500,500,150,800,1500,300,10,12,1,4,80,0x37B5,100,150,350,1,10,,,,,,,,,,,,,,,,,,,,,30146,1,,,,

3565,ss1,月光女神,nvshen,99,100000000,0,0,0,9,15000,15000,10,90,200,450,500,200,600,400,10,12,1,8,80,0x37B5,100,150,350,1,10,,,,,,,671,1000,671,1000,671,1000,671,1000,671,1000,671,1000,671,1000,671,1000,9219,1,12699,1
3566,AX,巫妖少主,M4,99,100000000,0,0,0,1,300000,300000,60,90,500,500,150,800,1500,300,10,12,1,4,80,0x37B5,100,150,350,1,10,,,,,,,,,,,,,,,,,,,,,30145,1,,,,
3567,ss2,巫妖之王,nvshen,99,300000000,0,0,0,9,25000,25000,70,450,200,650,500,400,800,500,10,12,1,8,80,0x37B5,100,150,350,1,10,,,,,,,671,1000,671,1000,671,1000,671,1000,671,1000,671,1000,671,1000,671,1000,671,1000,,
3568,ss3,至高战神,nvshen,99,150000000,,0,0,3,15000,15000,10,90,200,550,500,300,600,400,10,12,2,8,80,0x37B5,100,150,350,1,10,,,,,,,671,1000,671,1000,671,1000,671,1000,671,1000,671,1000,671,1000,671,1000,9220,1,12696,1
3569,fp1,反叛军剑士,nvshen,90,1000000,,0,0,1,20000,20000,10,70,50,200,300,300,200,30,10,12,1,7,80,0x3795,180,800,600,300,0,,,,,,,617,40,969,2000,675,10,4696,1,19021,1,,,,,,,,,,
3570,fp2,反叛军盗贼,nvshen,90,900000,,0,0,1,20000,20000,10,70,50,200,300,300,200,30,10,12,1,7,80,0x3795,180,800,600,300,0,,,,,,,617,40,969,2000,675,10,4696,1,19021,1,,,,,,,,,,
3571,fp3,反叛军弓箭手,nvshen,90,800000,,0,0,14,20000,20000,10,70,50,200,300,300,200,30,10,12,1,7,80,0x3795,180,1000,600,300,0,,,,,,,617,40,969,2000,675,10,4696,1,19021,1,,,,,,,,,,
3572,fp4,反叛军商人,nvshen,90,900000,,0,0,1,20000,20000,10,70,50,200,300,300,200,30,10,12,1,7,80,0x3795,180,800,600,300,0,,,,,,,617,40,969,2000,675,10,4696,1,19021,1,,,,,,,,,,
3573,fp5,反叛军魔法師,nvshen,90,800000,,0,0,14,20000,20000,10,70,50,200,300,300,200,30,10,12,1,7,80,0x3795,180,1000,600,300,0,,,,,,,617,40,969,2000,675,10,4696,1,19021,1,,,,,,,,,,
3574,fp6,反叛军左偏将,nvshen,99,20000000,,0,0,1,13000,13000,10,70,90,300,200,300,400,30,10,12,1,7,80,0x37B5,100,150,350,1,0,,,,,,,671,1000,671,1000,,,,,,,,,,,,,,,,
3575,fp7,反叛军骑士,nvshen,90,1500000,,0,0,2,25000,25000,10,70,50,250,300,300,300,30,10,12,1,7,80,0x3795,180,800,600,300,0,,,,,,,617,40,969,2000,675,10,4696,1,19021,1,,,,,,,,,,
3576,fp8,反叛军刺客,nvshen,90,1400000,,0,0,1,25000,25000,10,70,50,250,300,300,300,30,10,12,1,7,80,0x3795,180,800,600,300,0,,,,,,,617,40,969,2000,675,10,4696,1,19021,1,,,,,,,,,,
3577,fp9,反叛军猎人,nvshen,90,1300000,,0,0,14,25000,25000,10,70,50,250,300,300,300,30,10,12,1,7,80,0x3795,180,1000,600,300,0,,,,,,,617,40,969,2000,675,10,4696,1,19021,1,,,,,,,,,,
3578,fp10,反叛军巫师,nvshen,90,1300000,,0,0,14,25000,25000,10,70,50,250,300,300,300,30,10,12,1,7,80,0x3795,180,1000,600,300,0,,,,,,,617,40,969,2000,675,10,4696,1,19021,1,,,,,,,,,,
3579,fp11,反叛军铁匠,nvshen,90,1500000,,0,0,2,25000,25000,10,70,50,250,300,300,300,30,10,12,1,7,80,0x3795,180,800,600,300,0,,,,,,,617,40,969,2000,675,10,4696,1,19021,1,,,,,,,,,,
3580,fp12,反叛军右偏将,nvshen,99,40000000,,0,0,1,15000,15000,10,70,90,300,200,300,400,30,10,12,1,7,80,0x37B5,100,150,350,1,0,,,,,,,671,1000,671,1000,,,,,,,,,,,,,,,,
3581,fp13,反叛军大主教,nvshen,90,2200000,,0,0,2,39000,39000,10,70,50,250,300,300,300,30,10,12,1,7,80,0x3795,180,800,600,300,0,,,,,,,617,40,969,2000,675,10,4696,1,19021,1,,,,,,,,,,
3582,fp14,反叛军十字刺客,nvshen,90,2100000,,0,0,1,39000,39000,10,70,50,250,300,300,300,30,10,12,1,7,80,0x3795,180,800,600,300,0,,,,,,,617,40,969,2000,675,10,4696,1,19021,1,,,,,,,,,,
3583,fp15,反叛军修罗,nvshen,90,2100000,,0,0,1,39000,39000,10,70,50,250,300,300,300,30,10,12,1,7,80,0x3795,180,800,600,300,0,,,,,,,617,40,969,2000,675,10,4696,1,19021,1,,,,,,,,,,
3584,fp16,反叛军游侠,nvshen,90,2000000,,0,0,14,39000,39000,10,70,50,250,300,300,300,30,10,12,1,7,80,0x3795,180,1000,600,300,0,,,,,,,617,40,969,2000,675,10,4696,1,19021,1,,,,,,,,,,
3585,fp17,反叛军舞者,nvshen,90,2000000,,0,0,14,39000,39000,10,70,50,250,300,300,300,30,10,12,1,7,80,0x3795,180,1000,600,300,0,,,,,,,617,40,969,2000,675,10,4696,1,19021,1,,,,,,,,,,
3586,fp18,反叛军逐影,nvshen,90,2000000,,0,0,1,39000,39000,10,70,50,250,300,300,300,30,10,12,1,7,80,0x3795,180,1000,600,300,0,,,,,,,617,40,969,2000,675,10,4696,1,19021,1,,,,,,,,,,
3587,fp19,反叛军将军,nvshen,99,1000000000,600,0,0,3,15000,15000,10,300,200,600,300,1000,600,500,10,12,1,7,80,0x37B5,100,150,350,1,10,,,,,,,671,1000,671,1000,671,1000,671,1000,671,1000,,,,,9221,1,4758,1,,

//3302,custom22,马超,Machao,99,80000000,0,0,0,2,9000,9000,10,100,200,550,200,600,600,34,10,12,1,8,80,0x37B5,100,150,350,1,10,,,,,,,,,671,100,2630,300,2410,300,1530,300,969,2000,969,2000,969,2000,969,2000,,
//3303,custom23,逍遥仙,Xiaoyao,99,80000000,0,0,0,2,9000,9000,10,100,200,550,200,600,600,34,10,12,1,8,80,0x37B5,100,150,350,1,10,,,,,,,,,671,100,2630,300,2410,300,1530,300,969,2000,969,2000,969,2000,969,2000,,
//3304,custom24,妖鬼王,Yaogui,99,80000000,0,0,0,10,9000,9000,10,100,200,550,200,600,600,34,10,12,1,8,80,0x37B5,100,150,350,1,10,,,,,,,,,671,100,1530,300,2410,300,2630,300,,,,,,,,,,
//3305,custom25,伊娃,Yiwa,99,75000000,20000000,0,0,9,60000,60000,60,450,200,600,2000,2000,388,34,10,12,1,8,80,0x37B5,40,1000,1700,1,10,,,,,,,,,671,1,,,,,675,5,,,,,27025,10,,,,
//3306,custom26,炎邪,Xieyan,99,75000000,20000000,0,0,9,60000,60000,60,450,200,600,200,2000,388,34,10,12,1,8,80,0x37B5,40,1000,1700,1,10,,,,,,,,,671,1,,,,,675,5,,,,,27025,10,,,,
//3307,custom27,夏侯敦,Xiahou,99,80000000,0,0,0,2,9000,9000,10,100,200,550,200,600,600,34,10,12,1,8,80,0x37B5,100,150,350,1,10,,,,,,,,,671,100,2410,300,2630,300,1530,300,969,2000,969,2000,969,2000,969,2000,,
//3308,custom28,维纳斯,Weina,99,75000000,20000000,0,0,9,60000,60000,60,450,200,600,200,2000,388,34,10,12,1,8,80,0x37B5,40,1000,1700,1,10,,,,,,,,,671,1,,,,,675,5,,,,,27022,10,,,,
//3309,custom29,太史慈,Taishi,99,75000000,20000000,0,0,9,60000,60000,60,450,200,600,200,2000,388,34,10,12,1,8,80,0x37B5,40,1000,1700,1,10,,,,,,,,,671,1,,,,,675,5,,,,,27022,10,,,,
//3310,custom30,燕玲,Taishi,99,75000000,20000000,0,0,9,60000,60000,60,450,200,600,200,2000,388,34,10,12,1,8,80,0x37B5,40,1000,1700,1,10,,,,,,,,,671,1,,,,,675,5,,,,,27022,10,,,,
//3311,custom31,转身の貂蝉,Diaochan,99,2100000000,0,0,0,1,10000000,10000000,10,300,200,650,200,800,700,34,12,12,1,8,80,0x37B5,100,20,20,1,10,,,,,,,,,671,100,2630,300,2410,300,1530,300,969,2000,969,2000,969,2000,969,2000,,
//3312,custom32,转身の黄月英,Diaochan,99,2100000000,0,0,0,1,10000000,10000000,10,300,2,650,200,800,700,34,12,12,1,8,80,0x37B5,100,20,20,1,10,,,,,,,,,671,100,2630,300,2410,300,1530,300,969,2000,969,2000,969,2000,969,2000,,
//3313,custom33,嫦娥,Change,99,75000000,20000000,0,0,9,60000,60000,60,450,200,600,200,2000,388,34,10,12,1,8,80,0x37B5,40,1000,1700,1,10,,,,,,,,,671,1,,,,,675,5,,,,,27023,10,,,,
//3314,custom34,转身の吕布,Diaochan,99,2100000000,0,0,0,1,10000000,10000000,10,300,200,650,200,800,700,34,12,12,1,8,80,0x37B5,100,20,20,1,10,,,,,,,,,671,100,2630,300,2410,300,1530,300,969,2000,969,2000,969,2000,969,2000,,
//3315,custom35,转身の田丰,Diaochan,99,2100000000,0,0,0,1,10000000,10000000,10,300,200,650,200,800,700,34,15,15,1,8,80,0x37B5,100,20,20,1,10,,,,,,,,,671,100,2630,300,2410,300,1530,300,969,2000,969,2000,969,2000,969,2000,,
//3316,custom36,转身の大乔,Change,99,75000000,20000000,0,0,9,60000,60000,60,450,200,600,200,2000,388,34,12,12,1,8,80,0x37B5,40,1000,1700,1,10,,,,,,,,,671,1,,,,,675,5,,,27024,10,,,,,,
//3365,YGROXM03,大魔法师,Change,99,100000000,20000000,0,0,9,60000,60000,60,450,400,600,200,2000,388,34,12,12,1,6,80,0x37B5,40,1000,1700,1,10,,,,,,,,,27020,10,27023,10,,,27025,10,,,27024,10,27022,10,,,,
